multiplier,std_time,unix_time
1.81,2024-04-13 19:00:15+00:00,1713034815
1.29,2024-04-13 19:00:31+00:00,1713034831
2.16,2024-04-13 19:01:00+00:00,1713034860
2.14,2024-04-13 19:01:30+00:00,1713034890
1.6,2024-04-13 19:02:00+00:00,1713034920
1.09,2024-04-13 19:02:15+00:00,1713034935
1.06,2024-04-13 19:02:45+00:00,1713034965
1.43,2024-04-13 19:03:00+00:00,1713034980
2.26,2024-04-13 19:03:30+00:00,1713035010
1.34,2024-04-13 19:03:45+00:00,1713035025
47.14,2024-04-13 19:04:45+00:00,1713035085
1.82,2024-04-13 19:05:15+00:00,1713035115
1.62,2024-04-13 19:05:45+00:00,1713035145
1.85,2024-04-13 19:06:15+00:00,1713035175
1.2,2024-04-13 19:06:30+00:00,1713035190
1.7,2024-04-13 19:06:45+00:00,1713035205
1.03,2024-04-13 19:07:15+00:00,1713035235
1.42,2024-04-13 19:07:30+00:00,1713035250
1.8,2024-04-13 19:08:00+00:00,1713035280
1.51,2024-04-13 19:08:15+00:00,1713035295
1.38,2024-04-13 19:08:30+00:00,1713035310
4.21,2024-04-13 19:09:00+00:00,1713035340
6.15,2024-04-13 19:09:45+00:00,1713035385
1.13,2024-04-13 19:10:15+00:00,1713035415
3.4,2024-04-13 19:10:45+00:00,1713035445
1.47,2024-04-13 19:11:00+00:00,1713035460
2.84,2024-04-13 19:11:30+00:00,1713035490
4.61,2024-04-13 19:12:00+00:00,1713035520
20234.47,2024-04-13 19:14:15+00:00,1713035655
1.0,2024-04-13 19:14:30+00:00,1713035670
11.33,2024-04-13 19:15:15+00:00,1713035715
1.08,2024-04-13 19:15:45+00:00,1713035745
24.87,2024-04-13 19:16:45+00:00,1713035805
8.29,2024-04-13 19:17:30+00:00,1713035850
236.12,2024-04-13 19:19:00+00:00,1713035940
1.62,2024-04-13 19:19:30+00:00,1713035970
1.34,2024-04-13 19:20:00+00:00,1713036000
1.56,2024-04-13 19:20:15+00:00,1713036015
1.61,2024-04-13 19:20:45+00:00,1713036045
3.73,2024-04-13 19:21:15+00:00,1713036075
23.18,2024-04-13 19:22:23+00:00,1713036143
25.97,2024-04-13 19:23:10+00:00,1713036190
2.98,2024-04-13 19:23:46+00:00,1713036226
1.46,2024-04-13 19:24:18+00:00,1713036258
2.34,2024-04-13 19:24:48+00:00,1713036288
1.34,2024-04-13 19:25:29+00:00,1713036329
1.0,2024-04-13 19:25:49+00:00,1713036349
4.12,2024-04-13 19:26:19+00:00,1713036379
1.38,2024-04-13 19:26:36+00:00,1713036396
7.56,2024-04-13 19:27:30+00:00,1713036450
1.19,2024-04-13 19:27:56+00:00,1713036476
1.83,2024-04-13 19:28:25+00:00,1713036505
3.1,2024-04-13 19:28:49+00:00,1713036529
1.59,2024-04-13 19:29:17+00:00,1713036557
3.96,2024-04-13 19:29:53+00:00,1713036593
7.73,2024-04-13 19:30:56+00:00,1713036656
1.0,2024-04-13 19:31:38+00:00,1713036698
2.05,2024-04-13 19:31:59+00:00,1713036719
1.76,2024-04-13 19:32:18+00:00,1713036738
1.68,2024-04-13 19:32:50+00:00,1713036770
9.67,2024-04-13 19:33:39+00:00,1713036819
1.59,2024-04-13 19:34:01+00:00,1713036841
2.2,2024-04-13 19:34:40+00:00,1713036880
1.35,2024-04-13 19:34:52+00:00,1713036892
1.58,2024-04-13 19:35:45+00:00,1713036945
2.26,2024-04-13 19:35:50+00:00,1713036950
1.5,2024-04-13 19:36:20+00:00,1713036980
1.41,2024-04-13 19:37:23+00:00,1713037043
4.7,2024-04-13 19:38:23+00:00,1713037103
6.63,2024-04-13 19:38:53+00:00,1713037133
17.11,2024-04-13 19:39:26+00:00,1713037166
1.36,2024-04-13 19:40:12+00:00,1713037212
1.72,2024-04-13 19:40:41+00:00,1713037241
3.09,2024-04-13 19:41:16+00:00,1713037276
2.14,2024-04-13 19:41:50+00:00,1713037310
2.8,2024-04-13 19:42:20+00:00,1713037340
3.0,2024-04-13 19:42:49+00:00,1713037369
4.26,2024-04-13 19:43:37+00:00,1713037417
1.52,2024-04-13 19:44:05+00:00,1713037445
3.02,2024-04-13 19:44:30+00:00,1713037470
1.62,2024-04-13 19:44:51+00:00,1713037491
17.45,2024-04-13 19:45:50+00:00,1713037550
1.05,2024-04-13 19:46:04+00:00,1713037564
4.69,2024-04-13 19:47:01+00:00,1713037621
2.75,2024-04-13 19:47:53+00:00,1713037673
1.1,2024-04-13 19:48:52+00:00,1713037732
4.49,2024-04-13 19:49:21+00:00,1713037761
1.17,2024-04-13 19:49:32+00:00,1713037772
1.63,2024-04-13 19:50:15+00:00,1713037815
9.78,2024-04-13 19:51:51+00:00,1713037911
1.6,2024-04-13 19:54:02+00:00,1713038042
